Time,CPU Percent,Memory Used (MB),Memory Percent,Absolute CPU (s)
18:48:39,49.8,25.40234375,0.32325973867807994,0.05000000000000002
18:48:40,10.0,53.12109375,0.6759971069173011,0.42000000000000004
18:48:41,19.9,54.3515625,0.6916555442052598,0.17999999999999994
18:48:42,0.0,54.55859375,0.6942901384156147,0.08000000000000007
18:48:43,9.9,54.96875,0.6995096175116009,0.30000000000000004
18:48:44,19.9,54.96875,0.6995096175116009,0.1299999999999999
18:48:45,9.9,54.96875,0.6995096175116009,0.1299999999999999
18:48:46,0.0,54.84375,0.6979189191204432,0.1200000000000001
18:48:47,19.9,54.84375,0.6979189191204432,0.1399999999999999
18:48:48,19.9,54.84375,0.6979189191204432,0.13000000000000012
18:48:49,9.9,54.84375,0.6979189191204432,0.11999999999999988
18:48:50,9.9,54.84375,0.6979189191204432,0.13000000000000012
18:48:51,9.9,54.84375,0.6979189191204432,0.1299999999999999
18:48:52,9.9,54.84375,0.6979189191204432,0.13000000000000034
18:48:53,9.9,54.84375,0.6979189191204432,0.1299999999999999
18:48:54,9.9,54.84375,0.6979189191204432,0.1299999999999999
18:48:55,19.8,54.84375,0.6979189191204432,0.14000000000000012
18:48:56,19.9,54.84375,0.6979189191204432,0.1299999999999999
18:48:57,9.9,54.84375,0.6979189191204432,0.1200000000000001
18:48:58,9.9,54.84375,0.6979189191204432,0.1299999999999999
18:48:59,9.9,54.84375,0.6979189191204432,0.1299999999999999
18:49:00,9.9,54.84375,0.6979189191204432,0.13000000000000034
18:49:01,9.9,54.84375,0.6979189191204432,0.11999999999999966
18:49:02,9.9,54.84375,0.6979189191204432,0.1299999999999999
18:49:03,19.9,54.84375,0.6979189191204432,0.1299999999999999
18:49:04,9.9,54.84375,0.6979189191204432,0.13000000000000034
18:49:05,9.9,54.84375,0.6979189191204432,0.1299999999999999
18:49:06,9.9,54.84375,0.6979189191204432,0.1299999999999999
18:49:07,9.9,54.84375,0.6979189191204432,0.1200000000000001
18:49:08,9.9,54.84375,0.6979189191204432,0.1200000000000001
18:49:09,9.9,54.84375,0.6979189191204432,0.1299999999999999
18:49:10,9.9,54.84375,0.6979189191204432,0.1299999999999999
18:49:11,9.9,54.84375,0.6979189191204432,0.1299999999999999
18:49:12,199.3,54.84375,0.6979189191204432,0.40000000000000036
18:49:13,169.3,55.0859375,0.7010008972533113,1.4699999999999998
18:49:14,79.7,55.34375,0.7042817126850741,0.5099999999999998
18:49:15,69.6,55.6015625,0.7075625281168367,1.0200000000000014
18:49:16,0.0,55.6015625,0.7075625281168367,0.879999999999999
18:49:17,149.5,55.859375,0.7108433435485996,0.8699999999999992
18:49:18,209.3,56.1171875,0.7141241589803623,1.4700000000000006
18:49:19,9.9,56.375,0.717404974412125,1.0099999999999998
18:49:20,29.8,56.6328125,0.7206857898438879,0.3100000000000005
18:49:21,189.2,56.6328125,0.7206857898438879,0.9499999999999993
18:49:22,89.6,56.890625,0.7239666052756506,0.9000000000000004
18:49:23,219.2,57.14453125,0.7271977113826897,2.0200000000000014
18:49:24,9.9,57.40234375,0.7304785268144525,0.7299999999999969
18:49:25,199.3,57.66015625,0.7337593422462153,1.3399999999999999
18:49:26,109.6,58.17578125,0.7403209731097409,1.8599999999999994
18:49:27,219.2,58.43359375,0.7436017885415035,1.3700000000000045
18:49:28,219.5,58.69140625,0.7468826039732663,2.0799999999999983
18:49:29,119.2,58.94921875,0.7501634194050291,1.2199999999999989
18:49:30,9.9,58.94921875,0.7501634194050291,0.15000000000000213
18:49:31,129.2,59.20703125,0.7534442348367918,0.26000000000000156
18:49:32,89.6,59.20703125,0.7534442348367918,0.9099999999999966
18:49:33,179.3,59.20703125,0.7534442348367918,1.1999999999999993
18:49:34,89.6,59.46484375,0.7567250502685546,1.0899999999999999
18:49:35,219.3,59.72265625,0.7600058657003174,1.9100000000000037
18:49:36,219.2,59.98046875,0.7632866811320802,2.0399999999999956
18:49:37,69.6,60.23828125,0.7665674965638429,0.7299999999999969
18:49:38,179.3,60.49609375,0.7698483119956057,1.7900000000000063
18:49:39,139.5,60.75390625,0.7731291274273685,1.2299999999999969
18:49:40,219.3,61.01171875,0.7764099428591312,1.3700000000000045
18:49:41,199.3,61.26953125,0.7796907582908941,2.049999999999997
18:49:42,189.3,61.52734375,0.7829715737226567,2.0
18:49:43,0.0,62.04296875,0.7895332045861823,0.9000000000000057
18:49:44,149.1,62.04296875,0.7895332045861823,1.3699999999999974
18:49:45,199.0,62.30078125,0.7928140200179451,1.5799999999999983
18:49:46,199.3,62.55859375,0.7960948354497078,1.9899999999999949
18:49:47,179.2,62.81640625,0.7993756508814707,1.8400000000000034
18:49:48,209.3,63.07421875,0.8026564663132334,1.8200000000000003
18:49:49,9.9,63.33203125,0.805937281744996,1.1400000000000006
18:49:50,19.9,63.33203125,0.805937281744996,0.1599999999999966
18:49:51,0.0,63.33203125,0.805937281744996,0.0799999999999983
18:49:52,0.0,63.33203125,0.805937281744996,0.020000000000003126
18:49:53,0.0,63.33203125,0.805937281744996,0.01999999999999602
18:49:54,0.0,63.33203125,0.805937281744996,0.12000000000000455
18:49:55,9.9,63.33203125,0.805937281744996,0.0899999999999963
18:49:56,0.0,63.33203125,0.805937281744996,0.0
18:49:57,0.0,63.33203125,0.805937281744996,0.0
18:49:58,0.0,63.33203125,0.805937281744996,0.0
18:49:59,9.9,63.33203125,0.805937281744996,0.1600000000000037
18:50:00,9.9,63.33203125,0.805937281744996,0.14999999999999858
18:50:01,0.0,63.33203125,0.805937281744996,0.13000000000000256
18:50:02,9.9,63.33203125,0.805937281744996,0.0899999999999963
18:50:03,9.9,63.33203125,0.805937281744996,0.13000000000000256
18:50:04,19.9,63.33203125,0.805937281744996,0.14999999999999858
18:50:05,69.5,63.33203125,0.805937281744996,0.1600000000000037
18:50:06,49.6,63.33203125,0.805937281744996,0.13000000000000256
18:50:07,0.0,63.33203125,0.805937281744996,0.11999999999999744
18:50:08,9.9,63.33203125,0.805937281744996,0.1599999999999966
18:50:09,9.9,63.33203125,0.805937281744996,0.14999999999999858
